"year","title","rating","mid"
2005,"Alone in the Dark",2.1,5918
2005,"Alone in the Dark",2.1,62299
2005,"Alone in the Dark",2.1,31424
2005,"Son of the Mask",2.1,31698
2005,"No Direction Home: Bob Dylan",4.3,38304
2006,"Basic Instinct 2",2.5,44759
2006,"Basic Instinct 2",2.5,152
2006,"Bug",2.5,8902
2006,"Bug",2.5,53127
2006,"Doogal",2.5,43926
2006,"Das Leben der Anderen",4.4,44555
2007,"D-War",2.3,57223
2007,"Byôsoku 5 senchimêtoru",4.3,64993
2007,"No End in Sight",4.3,55071
2007,"Pete Seeger: The Power of Song",4.3,64990
2007,"War Dance",4.3,58309
2008,"Asylum",2.2,34538
2008,"Asylum",2.2,3757
2008,"The Dark Knight",4.5,58559
2009,"Miss March",2.7,8397
2009,"The Last House on the Left",2.7,5569
2009,"Star Trek",4.1,3884
